Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"MS evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific NX"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific NX"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific NX"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific NX"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific NX"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific pTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific pTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"
ENSG00000275700	AATF	"BFR2, CHE-1, CHE1, DED"	"Apoptosis antagonizing transcription factor"	Q9NY61	17	36948875-37056871	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"							"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004940, HPA075963"	Uncertain		Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA004940: AB_1078075, HPA075963: "
ENSG00000253251	AC008560.1		"Uncharacterized protein FLJ26957 "	Q6ZNX1	5	65624765-65630891	"Predicted intracellular proteins"	"DNA damage, DNA repair"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"		"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"											"HPA066071, HPA068764"	Approved		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA066071: , HPA068764: "
ENSG00000036549	AC118549.1		"ZZ-type zinc finger-containing protein 3 "	Q8IYH5	1	77562416-77683419	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA053663, HPA054913, HPA066197"	Uncertain		Enhanced	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA053663: , HPA054913: , HPA066197: "
ENSG00000160710	ADAR	"ADAR1, G1P1, IFI4"	"Adenosine deaminase, RNA specific"	P55265	1	154582062-154627999	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Antiviral defense, Immunity, Innate immunity, mRNA processing, RNA-mediated gene silencing"	"DNA-binding, Hydrolase, RNA-binding"	"Aicardi-Goutieres syndrome, Disease mutation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003890, HPA051519, CAB056157"	Enhanced		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"CAB056157: , HPA003890: AB_1078103, HPA051519: AB_2681520"
ENSG00000159618	ADGRG5	"GPR114, PGR27"	"Adhesion G protein-coupled receptor G5"	Q8IZF4	16	57542421-57591681	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"blood: 37.7;lymphoid tissue: 25.6"	"Cell line enriched"	"Detected in some"	6	"HMC-1: 28.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"eosinophil: 37.7"	"Low lineage specificity"	"Detected in many"			"Region enhanced"	"Detected in single"		"thalamus: 0.4"	"Low region specificity"	"Detected in single"			HPA007133	Enhanced		Approved	"Nucleoplasm,Nuclear membrane,Vesicles"		"Nuclear membrane, Vesicles"	Nucleoplasm	"HPA007133: AB_1849253"
ENSG00000144843	ADPRH	ARH1	"ADP-ribosylarginine hydrolase"	P54922	3	119579268-119589945	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"HDLM-2: 15.7;HEL: 11.3;HMC-1: 12.7;Karpas-707: 17.3;U-266/70: 16.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB001701, HPA036961"	Approved		Approved	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"CAB001701: , HPA036961: "
ENSG00000181026	AEN	"FLJ12484, FLJ12562, ISG20L1"	"Apoptosis enhancing nuclease"	Q8WTP8	15	88621296-88632282	"Predicted intracellular proteins"	"Apoptosis, DNA damage"	"Exonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA048599			Supported	"Nucleoplasm,Nuclear membrane,Nucleoli"		Nucleoplasm	"Nuclear membrane, Nucleoli"	"HPA048599: AB_2756313"
ENSG00000072364	AFF4	"AF5Q31, MCEF"	"AF4/FMR2 family member 4"	Q9UHB7	5	132875379-132963634	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"		"Cancer-related genes, Disease mutation, Dwarfism, Obesity, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023690, HPA029634"	Approved		Supported	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA023690: AB_1844633, HPA029634: "
ENSG00000155085	AK9	"AKD1, AKD2, C6orf199, C6orf224, dJ70A9.1, FLJ25791, FLJ42177, MGC26954"	"Adenylate kinase 9"	Q5TCS8	6	109492856-109691217	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Nucleotide metabolism"	"Kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in single"							"HPA030804, HPA030805, HPA031779, HPA031781, HPA036324, HPA036711"	Enhanced		Enhanced	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA030804: , HPA030805: , HPA031779: AB_10603674, HPA031781: , HPA036324: , HPA036711: "
ENSG00000174574	AKIRIN1	"C1orf108, FLJ12666"	"Akirin 1"	Q9H9L7	1	38991223-39006059	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA051871	Approved		Approved	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA051871: "
